query_id,user_id
qf722d33ce3a400f73c91168038947afb,ecHwvfy3wOAih_RQHUQiEA
q3e3772e6d8fb957ddcee263ee5c7f0df,AVyU4MC9ucdgCFRaLNpePQ
q7c21b81a902fbfcc2a1bd9b3e0cf1168,z02XKjGqJMONH59_lUHlTQ
q94111dadda930bf8a5464c228699daef,SPQT8wC1gFX3a-EkXkhgdQ
q443a58a79ad3543a92e5e4a5c284f33a,O5y7KlfBdqV6Ih8yhjZLsg
q8a5234f676ddc4dcba1b2e986c814468,i_DR3vdE73nVm2GlMbGpGA
q91a627dca0de5f9481b4d6a92b4edfd1,d8FwfuFM9SJA3kU_cIQ3aw
q84061fe2746e901aca7e7681402eb354,FUUEU3ZN5cL1nNNR2AYZuw
q2dfd0517147dee243227503cfeb57e6b,jK_SY5ciS1IL82Cf3Ed1_w
qc1e6c11f7d133b7ea0e2bbfe7c9e5c70,w0Eb3PnZFiyQdWqXYKnx3A
qdd4d2cb89d8c24486f4d38df85cbb2bf,A-h1VpD4NhSQo9hlk5FzRg
qe7c720733976db03559627b0910008a5,K17847uudqPFPIjSPgxs2A
q3b6f0fd05dea8822ff78d862d75a0991,dYzmK4IvlFHN-sUrsnyg9Q
qff2d62dd4e11a20b58fc5b1faa236439,djxnI8Ux8ZYQJhiOQkrRhA
qa616aefab7f91344c8abbdbeaaf4e70f,K97i0e7MaxYfvCCwPFMjuw
qed64597aabf0b50de9da51a202116a6b,_sZ6KsJyDRvaTBRZY9Welg
qe154eaf7e6899528d1a2cf8e6ef0b02a,z1-wLzYSLC7F7QnkeAQoOw
q318382894f6604f30e4ccf60993f4f54,ZsmLWcqUD5Z8x4CNT9pPTQ
q520634a860ff6a5893411992baba0f45,R7NM7vIyUfSTXvMsw7jNTA
qd2e88eb3eddcb6837e803acc7fd71432,e67fm29pOiQUcPSltCAHVA
q2be1907d611a5ed27a259439ab168512,qWYEuBZP7av55tewg3PXKg
qcddc1501047c1bfcff8de53cda04887f,u8YXsT2UCNlIlGHS3LAmPg
q5a4662d28aafc05153f5f80d57742815,hLsXVZ4ammtb9ZrdwA_zTA
q054b0bbb475b7cc3640554c0f7e9b9dc,a_-cGctRb1Tjzkzw8Hp3_Q
q714657aa3bf0066911b3ae2c5b710657,-V7frksbFjKQYVhrPnnlPw
q57ceee855716b5b683a4eed60ef66de8,ppsm8EDKjA1fp1yTCP3RrQ
qaab5fc55b81e505d12162ef55ddf0de1,M1fk_IYOyZBKIw6ov8Q9hg
q71174c836445da456920ebddbf71d217,2RFyJnbJ5AHT9hQp_tMeYw
q1161daf6bd72efadeb3a548b93129068,3G9zwCpr-pxQhO2D8-wvxQ
